Operator,Lessor/Owner,Manager,Lease Type,Aircraft Model,Aircraft Variant,Serial Number,Tail/Registration Number,Status,Role,Operator Country/Territory,Operator Region,Engine Series,Age,Lease From,Lease To,Lease To Derived
Wizz Air,TC Skyward Aviation Ireland Ltd,Tokyo Century Corporation,Operating^,A320,A320-200,5608,HA-LWS,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,8.667,2013-04-30,2025-11-04,No
Vueling,BOC Aviation,BOC Aviation,Operating^,A320,A320-200,5612,EC-LVT,In Service,Passenger,Spain,Europe: Western Europe,V2500,8.583,2013-05-31,,No
Wizz Air,TC Skyward Aviation Ireland Ltd,Tokyo Century Corporation,Operating^,A320,A320-200,5615,HA-LWT,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,8.667,2013-05-07,2025-11-04,No
Vueling,TC Skyward Aviation Ireland Ltd,Tokyo Century Corporation,Operating^,A320,A320-200,5616,EC-LVU,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,8.667,2013-05-16,,No
Wizz Air,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating,A320,A320-200,5617,HA-LWU,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,8.667,2013-05-24,2025-05-24,No
AirAsia India,Unknown,Unknown,Operating^,A320,A320-200,5619,VT-SIN,Inactive,Passenger,India,Asia: South Asia,CFM56-5B,8.667,2014-06-15,,No
Vueling,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,5620,EC-LVV,In Service,Passenger,Spain,Europe: Western Europe,V2500,8.667,2013-05-28,,No
Spirit Airlines,Avolon,Avolon,Operating^,A320,A320-200,5624,N620NK,In Service,Passenger,United States of America,North America,V2500,8.583,2013-05-28,,No
West Air,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5626,B-9949,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.583,2013-06-28,,No
Indonesia AirAsia,Carlyle Aviation Partners,Carlyle Aviation Partners,Operating^,A320,A320-200,5627,PK-AZD,Inactive,Passenger,Indonesia,Asia: South East Asia,CFM56-5B,8.583,2013-06-04,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5630,B-6869,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.583,2013-06-05,,No
Jetstar Airways,BOC Aviation,BOC Aviation,Operating^,A320,A320-200,5631,VH-VFO,In Service,Passenger,Australia,Southwest Pacific,V2500,8.583,2013-06-07,,No
Super Air Jet,CDB Leasing Company Ltd,CDB Leasing Company Ltd,Operating^,A320,A320-200,5637,PK-SJJ,In Service,Passenger,Indonesia,Asia: South East Asia,V2500,8.583,2021-11-19,,No
IndiGo,Connolly Aviation Capital 2 Ltd.,Jackson Square Aviation,Operating^,A320,A320-200,5641,VT-IFO,In Service,Passenger,India,Asia: South Asia,V2500,8.583,2013-06-26,,No
easyJet Europe,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating^,A320,A320-200,5648,OE-IZP,In Service,Passenger,Austria,Europe: Western Europe,CFM56-5B,8.5,2018-02-12,,No
Jetstar Japan,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5649,JA13JJ,In Service,Passenger,Japan,Asia: North East Asia,V2500,8.583,2013-06-27,,No
Volaris,Unknown,FPG Amentum Limited,Operating^,A320,A320-200,5651,N521VL,In Service,Passenger,Mexico,Latin America: Central America,V2500,8.583,2013-06-12,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5656,B-9962,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.333,2013-09-13,,No
Indonesia AirAsia,Incline Aircraft Holdings,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,5657,PK-AZG,Inactive,Passenger,Indonesia,Asia: South East Asia,CFM56-5B,8.5,2013-06-29,,No
Wizz Air,Unknown,Deucalion Aviation,Operating^,A320,A320-200,5660,HA-LWV,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,8.5,2013-06-27,,No
Frontier Airlines,Aviation Capital Group,Aviation Capital Group,Operating^,A320,A320-200,5661,N220FR,Inactive,Passenger,United States of America,North America,CFM56-5B,8.5,2013-06-21,2025-06-20,Yes
Scoot,AerCap,AerCap,Operating^,A320,A320-200,5662,9V-TRX,Inactive,Passenger,Singapore,Asia: South East Asia,V2500,8.5,2013-07-05,,No
Cebu Pacific,MAPS 2021-1,Merx Aviation Finance,Operating^,A320,A320-200,5669,RP-C3274,In Service,Passenger,Philippines,Asia: South East Asia,CFM56-5B,8.5,2013-07-04,,No
Spirit Airlines,Goshawk Aviation,Goshawk Aviation,Operating^,A320,A320-200,5672,N621NK,In Service,Passenger,United States of America,North America,V2500,8.5,2013-07-11,,No
Go First,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,5675,VT-GON,In Service,Passenger,India,Asia: South Asia,CFM56-5B,8.5,2013-07-26,,No
IndiGo,Unicorn Leasing Ltd,Unicorn Leasing Ltd,Operating^,A320,A320-200,5676,VT-IFP,Inactive,Passenger,India,Asia: South Asia,V2500,8.5,2013-07-01,,No
West Air,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5679,B-9982,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.167,2013-10-25,,No
IndiGo,Unicorn Leasing Ltd,Unicorn Leasing Ltd,Operating^,A320,A320-200,5683,VT-IFQ,In Service,Passenger,India,Asia: South Asia,V2500,8.5,2013-07-03,,No
HK Express,Bank Of Communications Financial Leasing,Bank Of Communications Financial Leasing,Operating^,A320,A320-200,5685,B-LCJ,Inactive,Passenger,Hong Kong,Asia: North East Asia,V2500,8.5,2015-09-29,,No
Cebu Pacific,MAPS 2021-1,Merx Aviation Finance,Operating^,A320,A320-200,5687,RP-C3275,In Service,Passenger,Philippines,Asia: South East Asia,CFM56-5B,8.5,2013-07-22,,No
Jetstar Japan,Investec Bank,Investec Bank,Operating^,A320,A320-200,5695,JA14JJ,In Service,Passenger,Japan,Asia: North East Asia,V2500,8.417,2013-08-27,,No
Scoot,Aviation Capital Group,Aviation Capital Group,Operating^,A320,A320-200,5697,9V-TRK,Inactive,Passenger,Singapore,Asia: South East Asia,V2500,8.417,2013-07-26,,No
Jetstar Japan,TLC Liquorice Co Ltd,Tokyo Century Corporation,Operating^,A320,A320-200,5701,JA15JJ,In Service,Passenger,Japan,Asia: North East Asia,V2500,8.417,2013-09-12,,No
easyJet,Orix Aviation,Orix Aviation,Financial^,A320,A320-200,5702,G-EZWL,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,8.417,2013-07-11,,No
Thai AirAsia,AirAsia,AirAsia,Operating^,A320,A320-200,5703,HS-BBE,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.417,2013-07-31,,No
Indonesia AirAsia,Incline Aircraft Holdings,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,5706,PK-AZF,Inactive,Passenger,Indonesia,Asia: South East Asia,CFM56-5B,8.5,2013-08-02,,No
Jetstar Asia,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5708,9V-JSU,In Service,Passenger,Singapore,Asia: South East Asia,V2500,8.417,2013-08-23,,No
IndiGo,Unicorn Leasing Ltd,Unicorn Leasing Ltd,Operating^,A320,A320-200,5712,VT-IFR,In Service,Passenger,India,Asia: South Asia,V2500,8.417,2013-08-06,,No
AirAsia India,Aviation Capital Group,Aviation Capital Group,Operating^,A320,A320-200,5716,VT-KTM,In Service,Passenger,India,Asia: South Asia,CFM56-5B,8.5,2019-10-17,,No
Jetstar Japan,TLC Cranberry Co Ltd,Tokyo Century Corporation,Operating^,A320,A320-200,5717,JA16JJ,In Service,Passenger,Japan,Asia: North East Asia,V2500,8.417,2013-09-18,,No
Scoot,Aviation Capital Group,Aviation Capital Group,Operating^,A320,A320-200,5721,9V-TRL,In Service,Passenger,Singapore,Asia: South East Asia,V2500,8.417,2013-08-01,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5722,B-9961,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.167,2013-12-05,,No
Allegiant Air,Avolon,Avolon,Operating^,A320,A320-200,5724,N205NV,Inactive,Passenger,United States of America,North America,CFM56-5B,8.417,2021-10-14,,No
HK Express,CMB Financial Leasing,CMB Financial Leasing,Operating^,A320,A320-200,5725,B-LCF,Inactive,Passenger,Hong Kong,Asia: North East Asia,V2500,8.417,2015-05-22,,No
IndiGo,Unicorn Leasing Ltd,Unicorn Leasing Ltd,Operating^,A320,A320-200,5727,VT-IFS,In Service,Passenger,India,Asia: South Asia,V2500,8.333,2013-08-29,,No
Iberia Express,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,5729,EC-LYE,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,8.333,2013-08-28,,No
Jetstar Airways,Goshawk Aviation,Goshawk Aviation,Operating^,A320,A320-200,5732,VH-YXS,Inactive,Passenger,Australia,Southwest Pacific,V2500,8.417,2013-09-05,,No
HK Express,CMB Financial Leasing,CMB Financial Leasing,Operating^,A320,A320-200,5738,B-LCG,Inactive,Passenger,Hong Kong,Asia: North East Asia,V2500,8.333,2015-06-04,,No
West Air,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5740,B-9981,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.83,2013-11-25,,No
Thai VietJet Air,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,5742,HS-VKP,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.333,2013-09-23,,No
IndiGo,Minsheng Financial Leasing,Minsheng Financial Leasing,Operating^,A320,A320-200,5744,VT-IFT,Inactive,Passenger,India,Asia: South Asia,V2500,8.333,2013-09-16,,No
Thai AirAsia,CDB Leasing Company Ltd,CDB Leasing Company Ltd,Operating,A320,A320-200,5762,HS-BBF,Inactive,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.333,2013-09-30,,No
Air Arabia,KfW IPEX-Bank GmbH,KfW IPEX-Bank GmbH,Financial^,A320,A320-200,5772,A6-ANS,In Service,Passenger,United Arab Emirates,Middle East,CFM56-5B,8.333,2013-09-16,2025-09-16,No
Jetstar Airways,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5775,VH-VFP,In Service,Passenger,Australia,Southwest Pacific,V2500,8.333,2013-09-10,,No
Volaris,AerCap,AerCap,Operating^,A320,A320-200,5776,N522VL,In Service,Passenger,Mexico,Latin America: Central America,V2500,8.25,2013-09-30,,No
Citilink,Unknown,SMBC Aviation Capital,Operating^,A320,A320-200,5777,PK-GLX,In Service,Passenger,Indonesia,Asia: South East Asia,CFM56-5B,8.25,2013-09-17,2025-09-17,No
Spring Airlines,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5778,B-9965,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.333,2013-09-23,,No
Jetstar Airways,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5780,VH-VFQ,In Service,Passenger,Australia,Southwest Pacific,V2500,8.25,2013-09-19,,No
easyJet Switzerland,easyJet,easyJet,Operating^,A320,A320-200,5785,HB-JXE,In Service,Passenger,Switzerland,Europe: Western Europe,CFM56-5B,8.25,2015-11-26,,No
Volaris,BOC Aviation,BOC Aviation,Operating^,A320,A320-200,5793,XA-VOY,In Service,Passenger,Mexico,Latin America: Central America,V2500,8.25,2013-10-08,,No
Jetstar Airways,Aircastle,Aircastle,Operating^,A320,A320-200,5796,VH-YXW,Inactive,Passenger,Australia,Southwest Pacific,V2500,8.25,2021-10-15,,No
Onur Air,JMV Aviation,JMV Aviation,Operating^,A320,A320-200,580,TC-ODB,Inactive,Passenger,Turkey,Europe: Eastern/Central Europe,V2500,25.833,2015-12-31,,No
Spirit Airlines,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5804,N622NK,In Service,Passenger,United States of America,North America,V2500,8.25,2013-10-21,,No
Scoot,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating,A320,A320-200,5805,9V-TRM,In Service,Passenger,Singapore,Asia: South East Asia,V2500,8.25,2013-10-11,2025-10-10,No
IndiGo,Minsheng Financial Leasing,Minsheng Financial Leasing,Operating^,A320,A320-200,5807,VT-IFU,Inactive,Passenger,India,Asia: South Asia,V2500,8.167,2013-10-18,,No
Go First,PIONEER 2019-1,Goshawk Aviation,Operating^,A320,A320-200,5809,VT-GOP,In Service,Passenger,India,Asia: South Asia,CFM56-5B,8.25,2013-10-21,2022-10-31,No
Go First,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5811,VT-GOO,In Service,Passenger,India,Asia: South Asia,CFM56-5B,8.167,2013-10-21,,No
Thai AirAsia,CDB Leasing Company Ltd,CDB Leasing Company Ltd,Operating^,A320,A320-200,5812,HS-BBG,Inactive,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.25,2013-10-22,,No
Jetstar Asia,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5813,9V-JSV,Inactive,Passenger,Singapore,Asia: South East Asia,V2500,8.25,2013-10-22,,No
Jetstar Airways,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5814,VH-VFU,In Service,Passenger,Australia,Southwest Pacific,V2500,8.167,2013-10-26,,No
Iberia Express,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,5815,EC-LYM,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,8.25,2013-10-28,,No
Volaris,BOC Aviation,BOC Aviation,Operating^,A320,A320-200,5819,XA-VOZ,In Service,Passenger,Mexico,Latin America: Central America,V2500,8.167,2013-11-04,,No
Thai VietJet Air,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,5822,HS-VKQ,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.167,2013-10-28,,No
AirAsia India,Incline Aircraft Holdings,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,5824,VT-RED,In Service,Passenger,India,Asia: South Asia,CFM56-5B,8.25,2014-12-05,,No
Citilink,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,5830,PK-GLY,In Service,Passenger,Indonesia,Asia: South East Asia,CFM56-5B,8.167,2013-11-07,2025-11-07,No
Thai AirAsia,AirAsia,AirAsia,Operating^,A320,A320-200,5839,HS-BBH,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.167,2013-11-08,,No
Indonesia AirAsia,Incline Aircraft Holdings,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,5846,PK-AZO,In Service,Passenger,Indonesia,Asia: South East Asia,CFM56-5B,8.167,2018-09-15,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5848,B-1809,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,7.833,2014-02-18,,No
Thai AirAsia,AirAsia,AirAsia,Operating^,A320,A320-200,5851,HS-BBI,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.167,2013-11-15,,No
Jetstar Airways,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5858,VH-VFV,In Service,Passenger,Australia,Southwest Pacific,V2500,8.167,2013-11-21,,No
Spirit Airlines,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5861,N623NK,In Service,Passenger,United States of America,North America,V2500,8.167,2013-11-25,,No
AirAsia,Carlyle Aviation Partners,Carlyle Aviation Partners,Operating,A320,A320-200,5863,9M-AJD,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,8.83,2018-09-15,,No
Thai AirAsia,AirAsia,AirAsia,Operating^,A320,A320-200,5866,HS-BBJ,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,8.167,2013-12-02,,No
Jetstar Airways,Qantas Airways,Qantas Airways,Operating^,A320,A320-200,5871,VH-VFX,In Service,Passenger,Australia,Southwest Pacific,V2500,8.83,2013-11-29,,No
Jetstar Japan,Tokyo Century Corporation,Tokyo Century Corporation,Operating^,A320,A320-200,5877,JA22JJ,Inactive,Passenger,Japan,Asia: North East Asia,V2500,8.83,2014-03-10,,No
Pegasus Airlines,Minsheng Financial Leasing,Minsheng Financial Leasing,Operating^,A320,A320-200,5879,TC-DCA,In Service,Passenger,Turkey,Europe: Eastern/Central Europe,CFM56-5B,8.83,2013-11-29,,No
Spirit Airlines,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5880,N624NK,In Service,Passenger,United States of America,North America,V2500,8.83,2013-12-09,,No
Jetstar Japan,Orix Aviation,Orix Aviation,Operating^,A320,A320-200,5885,JA21JJ,In Service,Passenger,Japan,Asia: North East Asia,V2500,8.83,2017-02-24,,No
AirAsia,Castlelake,Castlelake,Operating^,A320,A320-200,5888,9M-AQZ,In Service,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,8.83,2019-06-15,,No
airblue,AWAS,Dubai Aerospace Enterprise Capital,Operating^,A320,A320-200,5891,AP-EDG,In Service,Passenger,Pakistan,Asia: South Asia,V2500,8.83,2013-12-17,,No
IndiGo,Minsheng Financial Leasing,Minsheng Financial Leasing,Operating^,A320,A320-200,5893,VT-IFW,Inactive,Passenger,India,Asia: South Asia,V2500,8.83,2013-12-12,,No
AirAsia,Carlyle Aviation Partners,Carlyle Aviation Partners,Operating,A320,A320-200,5897,9M-AJA,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,8.83,2017-06-15,,No
IndiGo,Minsheng Financial Leasing,Minsheng Financial Leasing,Operating^,A320,A320-200,5898,VT-IFX,Inactive,Passenger,India,Asia: South Asia,V2500,8.83,2014-01-10,,No
Super Air Jet,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating^,A320,A320-200,5900,PK-SAU,In Service,Passenger,Indonesia,Asia: South East Asia,V2500,8.83,2021-07-15,,No
Pegasus Airlines,Minsheng Financial Leasing,Minsheng Financial Leasing,Operating^,A320,A320-200,5902,TC-DCB,In Service,Passenger,Turkey,Europe: Eastern/Central Europe,CFM56-5B,8.83,2013-12-05,,No
Philippines AirAsia,Castlelake,Castlelake,Operating^,A320,A320-200,5905,RP-C8966,In Service,Passenger,Philippines,Asia: South East Asia,CFM56-5B,8.83,2019-08-15,,No
AirAsia,WAVE 2019-1,Wings Capital Partners,Operating,A320,A320-200,5908,9M-AJE,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,8.83,2017-06-15,2025-12-31,No
Spring Airlines,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5911,B-9986,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,8.83,2013-12-20,,No
AirAsia,Castlelake,Castlelake,Operating^,A320,A320-200,5914,9M-AJC,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,8.83,2019-06-15,,No
Scoot,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating,A320,A320-200,5915,9V-TRN,Inactive,Passenger,Singapore,Asia: South East Asia,V2500,8,2013-12-19,2025-12-18,No
Cebu Pacific,MAPS 2021-1,Merx Aviation Finance,Operating^,A320,A320-200,5917,RP-C3276,In Service,Passenger,Philippines,Asia: South East Asia,CFM56-5B,8,2013-12-20,,No
IndiGo,Connolly Aviation Capital 3 Limited,Jackson Square Aviation,Operating^,A320,A320-200,5923,VT-IFY,Inactive,Passenger,India,Asia: South Asia,V2500,7.917,2014-01-22,,No
Vueling,MACH 1 Limited,Aviation Capital Group,Operating,A320,A320-200,5925,EC-LZN,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,7.917,2014-01-23,2022-01-31,No
Jetstar Airways,Vermillion Aviation Holdings Ireland Limited,AMCK Aviation,Operating^,A320,A320-200,5940,VH-YXT,Inactive,Passenger,Australia,Southwest Pacific,V2500,7.917,2018-10-17,,No
airblue,AWAS,Dubai Aerospace Enterprise Capital,Operating^,A320,A320-200,5943,AP-EDH,In Service,Passenger,Pakistan,Asia: South Asia,CFM56-5B,7.917,2014-01-24,,No
Pegasus Airlines,Orix Aviation,Orix Aviation,Operating^,A320,A320-200,5950,TC-DCC,In Service,Passenger,Turkey,Europe: Eastern/Central Europe,CFM56-5B,7.917,2014-02-13,2028-02-12,No
Spirit Airlines,Jackson Square Aviation Ireland Limited,Jackson Square Aviation,Operating^,A320,A320-200,5954,N625NK,In Service,Passenger,United States of America,North America,V2500,7.917,2014-01-31,,No
Chengdu Airlines,ABC Leasing,ABC Leasing,Operating^,A320,A320-200,5957,B-1856,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,7.917,2019-06-15,,No
Thai AirAsia,AirAsia,AirAsia,Operating^,A320,A320-200,5959,HS-BBL,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,7.917,2014-02-06,,No
Volaris,BOC Aviation,BOC Aviation,Operating^,A320,A320-200,5988,XA-VLB,In Service,Passenger,Mexico,Latin America: Central America,V2500,7.917,2014-02-28,,No
Go First,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,5990,VT-GOQ,In Service,Passenger,India,Asia: South Asia,CFM56-5B,7.917,2014-02-24,,No
IndiGo,Accipiter Holdings Ltd,AMCK Aviation,Operating^,A320,A320-200,5992,VT-IAL,In Service,Passenger,India,Asia: South Asia,V2500,7.833,2014-03-03,,No
Pegasus Airlines,CCB Financial Leasing,CCB Financial Leasing,Operating^,A320,A320-200,5995,TC-DCD,In Service,Passenger,Turkey,Europe: Eastern/Central Europe,CFM56-5B,7.833,2014-03-24,2022-03-23,No
Volaris,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,5996,XA-VLC,In Service,Passenger,Mexico,Latin America: Central America,V2500,7.833,2014-02-26,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,5997,B-1810,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,7.667,2014-06-13,,No
Spirit Airlines,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,5999,N626NK,In Service,Passenger,United States of America,North America,V2500,7.917,2014-03-10,,No
Wizz Air,MAPS 2021-1,Merx Aviation Finance,Operating^,A320,A320-200,6001,HA-LWX,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,7.833,2014-03-03,,No
Peach,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,6004,JA812P,Inactive,Passenger,Japan,Asia: North East Asia,CFM56-5B,7.833,2014-03-11,,No
Volaris El Salvador,AerCap,AerCap,Operating^,A320,A320-200,6014,N523VL,In Service,Passenger,El Salvador,Latin America: Central America,V2500,7.833,2014-03-10,,No
AirAsia India,Carlyle Aviation Partners,Carlyle Aviation Partners,Operating^,A320,A320-200,6015,VT-ATF,In Service,Passenger,India,Asia: South Asia,CFM56-5B,7.833,2014-03-11,,No
West Air,AWAS,Dubai Aerospace Enterprise Capital,Operating^,A320,A320-200,6023,B-9969,In Service,Passenger,China,Asia: North East Asia,V2500,7.833,2014-06-03,,No
Thai VietJet Air,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,6025,HS-VKO,In Service,Passenger,Thailand,Asia: South East Asia,CFM56-5B,7.75,2014-03-18,,No
Super Air Jet,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating^,A320,A320-200,6032,PK-SAT,In Service,Passenger,Indonesia,Asia: South East Asia,V2500,7.833,2021-05-24,,No
AirAsia India,Carlyle Aviation Partners,Carlyle Aviation Partners,Operating^,A320,A320-200,6034,VT-ATB,In Service,Passenger,India,Asia: South Asia,CFM56-5B,7.833,2014-09-05,2026-09-05,No
IndiGo,Good Fly Leasing Ltd.,Good Fly Leasing Ltd.,Operating^,A320,A320-200,6036,VT-IAO,In Service,Passenger,India,Asia: South Asia,V2500,7.75,2014-04-01,,No
Vueling,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,6039,EC-MAH,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,7.75,2014-03-28,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A320-200,6041,B-1811,In Service,Passenger,China,Asia: North East Asia,CFM56-5B,7.583,2014-07-11,,No
Vueling,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,6045,EC-MAI,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,7.75,2014-04-01,,No
AirAsia,Castlelake,Castlelake,Operating^,A320,A320-200,6048,9M-AJG,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,7.833,2019-05-15,,No
Wizz Air,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating,A320,A320-200,6058,HA-LWY,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,7.75,2014-04-04,2026-04-04,No
AirAsia,Nomura Babcock & Brown Company Ltd,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,6064,9M-AJH,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,7.75,2014-04-09,2026-04-10,No
Go First,Goshawk Aviation,Goshawk Aviation,Operating^,A320,A320-200,6072,VT-GOR,Inactive,Passenger,India,Asia: South Asia,CFM56-5B,7.75,2014-05-14,,No
AirAsia,Nomura Babcock & Brown Company Ltd,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,6075,9M-AJI,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,7.75,2017-06-15,,No
West Air,SLVRR 2019-1,BOC Aviation,Operating^,A320,A320-200,6076,B-1897,Inactive,Passenger,China,Asia: North East Asia,V2500,7.75,2014-06-23,2023-06-30,No
Wizz Air,Aircastle,Aircastle,Operating^,A320,A320-200,6077,HA-LYA,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,7.75,2014-04-17,,No
Vueling,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,6079,EC-MAN,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,7.75,2014-04-28,,No
Vueling,Macquarie AirFinance,Macquarie AirFinance,Operating^,A320,A320-200,6081,EC-MAO,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,7.667,2014-04-25,,No
Spirit Airlines,Bank Of Utah,Bank Of Utah,Operating^,A320,A320-200,6082,N627NK,In Service,Passenger,United States of America,North America,V2500,7.75,2014-05-05,,No
AirAsia,Nomura Babcock & Brown Company Ltd,BBAM Aircraft Leasing & Management,Operating,A320,A320-200,6084,9M-AJJ,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,7.667,2017-06-15,,No
Wizz Air,Unknown,FPG Amentum Limited,Operating^,A320,A320-200,6086,HA-LWZ,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,7.667,2014-05-05,,No
AirAsia,Commonwealth Bank Of Australia,Commonwealth Bank Of Australia,Operating,A320,A320-200,6088,9M-AJK,Inactive,Passenger,Malaysia,Asia: South East Asia,CFM56-5B,7.667,2014-05-12,2026-05-12,No
Wizz Air,Infinity Trading & Solutions LLC,Infinity Trading & Solutions LLC,Operating^,A320,A320-200,6093,HA-LYB,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,7.667,2014-05-13,,No
Wizz Air,Infinity Trading & Solutions LLC,Infinity Trading & Solutions LLC,Operating^,A320,A320-200,6098,HA-LYC,In Service,Passenger,Hungary,Europe: Eastern/Central Europe,V2500,7.667,2014-05-16,,No
Peach,SMBC Aviation Capital,SMBC Aviation Capital,Operating^,A320,A320-200,6107,JA813P,In Service,Passenger,Japan,Asia: North East Asia,CFM56-5B,7.667,2014-06-02,,No
